127.0.0.1 - - [15/Nov/2016:08:51:53 +0700] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [15/Nov/2016:08:51:58 +0700] "GET /demoview/View/Headeruser.jsp HTTP/1.1" 200 551
0:0:0:0:0:0:0:1 - - [15/Nov/2016:08:51:58 +0700] "GET /demoview/View/View/Style.css HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [15/Nov/2016:08:51:58 +0700] "GET /demoview/hinhanh/sdt.png HTTP/1.1" 200 9441
0:0:0:0:0:0:0:1 - - [15/Nov/2016:08:51:58 +0700] "GET /demoview/hinhanh/cooltext167942677404796.png HTTP/1.1" 200 25372
0:0:0:0:0:0:0:1 - - [15/Nov/2016:08:54:19 +0700] "GET /demoview/View/Customer.jsp HTTP/1.1" 200 2503
0:0:0:0:0:0:0:1 - - [15/Nov/2016:08:54:20 +0700] "GET /demoview/hinhanh/logofb.jpg HTTP/1.1" 200 2191
0:0:0:0:0:0:0:1 - - [15/Nov/2016:08:54:20 +0700] "GET /demoview/View/Style.css HTTP/1.1" 200 2190
0:0:0:0:0:0:0:1 - - [15/Nov/2016:08:54:31 +0700] "GET /demoview/ HTTP/1.1" 200 9584
0:0:0:0:0:0:0:1 - - [15/Nov/2016:08:54:31 +0700] "GET /demoview/View/Style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2016:08:54:31 +0700] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [15/Nov/2016:08:57:02 +0700] "GET /demoview/sanphamtheoloai?type=typeCode&maloai=oc_so HTTP/1.1" 200 4199
0:0:0:0:0:0:0:1 - - [15/Nov/2016:08:57:02 +0700] "GET /demoview/Style.css HTTP/1.1" 404 1030
0:0:0:0:0:0:0:1 - - [15/Nov/2016:08:57:03 +0700] "GET /demoview/sanphamtheoloai?type=productCode&productId=oc_so1 HTTP/1.1" 200 5155
0:0:0:0:0:0:0:1 - - [15/Nov/2016:08:57:03 +0700] "GET /demoview/Style.css HTTP/1.1" 404 1030
0:0:0:0:0:0:0:1 - - [15/Nov/2016:08:58:16 +0700] "GET /demoview/View/Customer.jsp HTTP/1.1" 200 2574
0:0:0:0:0:0:0:1 - - [15/Nov/2016:08:58:16 +0700] "GET /demoview/View/Style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2016:08:58:16 +0700] "GET /demoview/hinhanh/cooltext167942677404796.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2016:08:58:16 +0700] "GET /demoview/hinhanh/sdt.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2016:08:58:16 +0700] "GET /demoview/hinhanh/logofb.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2016:08:58:17 +0700] "GET /demoview/View/Customer.jsp HTTP/1.1" 200 2574
0:0:0:0:0:0:0:1 - - [15/Nov/2016:08:58:17 +0700] "GET /demoview/View/Customer.jsp HTTP/1.1" 200 2574
0:0:0:0:0:0:0:1 - - [15/Nov/2016:08:58:17 +0700] "GET /demoview/View/Style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2016:08:58:17 +0700] "GET /demoview/hinhanh/cooltext167942677404796.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2016:08:58:17 +0700] "GET /demoview/hinhanh/logofb.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2016:08:58:17 +0700] "GET /demoview/hinhanh/sdt.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2016:08:58:17 +0700] "GET /demoview/View/Customer.jsp HTTP/1.1" 200 2574
0:0:0:0:0:0:0:1 - - [15/Nov/2016:08:58:17 +0700] "GET /demoview/View/Style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2016:08:58:17 +0700] "GET /demoview/hinhanh/cooltext167942677404796.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2016:08:58:17 +0700] "GET /demoview/hinhanh/sdt.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2016:08:58:17 +0700] "GET /demoview/hinhanh/logofb.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2016:08:59:50 +0700] "GET /demoview/View/Customer.jsp HTTP/1.1" 200 2609
0:0:0:0:0:0:0:1 - - [15/Nov/2016:08:59:50 +0700] "GET /demoview/View/Style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2016:08:59:50 +0700] "GET /demoview/hinhanh/sdt.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2016:08:59:50 +0700] "GET /demoview/hinhanh/logofb.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2016:08:59:50 +0700] "GET /demoview/hinhanh/cooltext167942677404796.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2016:08:59:51 +0700] "GET /demoview/View/Customer.jsp HTTP/1.1" 200 2609
0:0:0:0:0:0:0:1 - - [15/Nov/2016:08:59:51 +0700] "GET /demoview/View/Customer.jsp HTTP/1.1" 200 2609
0:0:0:0:0:0:0:1 - - [15/Nov/2016:08:59:51 +0700] "GET /demoview/View/Customer.jsp HTTP/1.1" 200 2609
0:0:0:0:0:0:0:1 - - [15/Nov/2016:08:59:51 +0700] "GET /demoview/View/Customer.jsp HTTP/1.1" 200 2609
0:0:0:0:0:0:0:1 - - [15/Nov/2016:08:59:51 +0700] "GET /demoview/hinhanh/cooltext167942677404796.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2016:08:59:51 +0700] "GET /demoview/View/Style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2016:08:59:51 +0700] "GET /demoview/hinhanh/logofb.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2016:08:59:51 +0700] "GET /demoview/hinhanh/sdt.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2016:09:02:09 +0700] "GET /demoview/View/Customer.jsp HTTP/1.1" 200 2706
0:0:0:0:0:0:0:1 - - [15/Nov/2016:09:02:09 +0700] "GET /demoview/View/Style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2016:09:02:09 +0700] "GET /demoview/hinhanh/sdt.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2016:09:02:09 +0700] "GET /demoview/hinhanh/logofb.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2016:09:02:09 +0700] "GET /demoview/hinhanh/cooltext167942677404796.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2016:09:06:06 +0700] "GET /demoview/View/Customer.jsp HTTP/1.1" 200 2827
0:0:0:0:0:0:0:1 - - [15/Nov/2016:09:06:06 +0700] "GET /demoview/View/Style.css HTTP/1.1" 200 2394
0:0:0:0:0:0:0:1 - - [15/Nov/2016:09:06:06 +0700] "GET /demoview/hinhanh/cooltext167942677404796.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2016:09:06:06 +0700] "GET /demoview/hinhanh/sdt.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2016:09:06:06 +0700] "GET /demoview/hinhanh/logofb.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2016:09:06:11 +0700] "GET /demoview/View/Customer.jsp HTTP/1.1" 200 2827
0:0:0:0:0:0:0:1 - - [15/Nov/2016:09:06:11 +0700] "GET /demoview/View/Style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2016:09:06:11 +0700] "GET /demoview/hinhanh/sdt.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2016:09:06:11 +0700] "GET /demoview/hinhanh/logofb.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2016:09:06:11 +0700] "GET /demoview/hinhanh/cooltext167942677404796.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2016:09:07:38 +0700] "GET /demoview/View/Customer.jsp HTTP/1.1" 200 2827
0:0:0:0:0:0:0:1 - - [15/Nov/2016:09:07:38 +0700] "GET /demoview/View/Style.css HTTP/1.1" 200 2353
0:0:0:0:0:0:0:1 - - [15/Nov/2016:09:07:38 +0700] "GET /demoview/hinhanh/cooltext167942677404796.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2016:09:07:38 +0700] "GET /demoview/hinhanh/sdt.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2016:09:07:38 +0700] "GET /demoview/hinhanh/logofb.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2016:09:08:02 +0700] "GET /demoview/ HTTP/1.1" 200 9584
