127.0.0.1 - - [20/Nov/2016:14:13:32 +0700] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [20/Nov/2016:14:13:39 +0700] "GET /demoview/View/nhap.jsp HTTP/1.1" 200 529
0:0:0:0:0:0:0:1 - - [20/Nov/2016:14:13:39 +0700] "GET /demoview/hinhanh/logo/png HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [20/Nov/2016:14:13:39 +0700] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [20/Nov/2016:14:13:45 +0700] "POST /demoview/nhap HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [20/Nov/2016:14:14:03 +0700] "POST /demoview/nhap HTTP/1.1" 200 448
0:0:0:0:0:0:0:1 - - [20/Nov/2016:14:15:04 +0700] "GET /demoview/View/nhap.jsp HTTP/1.1" 200 529
0:0:0:0:0:0:0:1 - - [20/Nov/2016:14:15:04 +0700] "GET /demoview/hinhanh/logo/png HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [20/Nov/2016:14:15:09 +0700] "POST /demoview/nhap HTTP/1.1" 200 454
0:0:0:0:0:0:0:1 - - [20/Nov/2016:14:17:11 +0700] "GET /demoview/View/nhap.jsp HTTP/1.1" 200 529
0:0:0:0:0:0:0:1 - - [20/Nov/2016:14:17:11 +0700] "GET /demoview/hinhanh/logo/png HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [20/Nov/2016:14:17:13 +0700] "POST /demoview/nhap HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [20/Nov/2016:14:18:24 +0700] "GET /demoview/View/nhap.jsp HTTP/1.1" 200 529
0:0:0:0:0:0:0:1 - - [20/Nov/2016:14:18:24 +0700] "GET /demoview/hinhanh/logo/png HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [20/Nov/2016:14:18:29 +0700] "POST /demoview/nhap HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [20/Nov/2016:14:24:38 +0700] "GET /demoview/View/nhap.jsp HTTP/1.1" 200 529
0:0:0:0:0:0:0:1 - - [20/Nov/2016:14:24:38 +0700] "GET /demoview/hinhanh/logo/png HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [20/Nov/2016:14:24:40 +0700] "POST /demoview/nhap HTTP/1.1" 200 10
0:0:0:0:0:0:0:1 - - [20/Nov/2016:14:28:29 +0700] "POST /demoview/nhap HTTP/1.1" 200 21885
0:0:0:0:0:0:0:1 - - [20/Nov/2016:14:29:03 +0700] "POST /demoview/nhap HTTP/1.1" 200 10
0:0:0:0:0:0:0:1 - - [20/Nov/2016:14:29:15 +0700] "POST /demoview/nhap HTTP/1.1" 200 10
0:0:0:0:0:0:0:1 - - [20/Nov/2016:14:29:27 +0700] "POST /demoview/nhap HTTP/1.1" 200 21885
0:0:0:0:0:0:0:1 - - [20/Nov/2016:14:29:59 +0700] "GET /demoview/View/nhap.jsp HTTP/1.1" 200 524
0:0:0:0:0:0:0:1 - - [20/Nov/2016:14:29:59 +0700] "GET /demoview/hinhanh/logo/png HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [20/Nov/2016:15:26:19 +0700] "GET /demoview/admin/Admin_Login.jsp HTTP/1.1" 200 659
0:0:0:0:0:0:0:1 - - [20/Nov/2016:15:26:25 +0700] "POST /demoview/Adminlogin HTTP/1.1" 200 3244
0:0:0:0:0:0:0:1 - - [20/Nov/2016:15:26:25 +0700] "GET /demoview/admin/Adminstyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2016:15:26:32 +0700] "GET /demoview/Adminproduct?key=view HTTP/1.1" 200 11292
0:0:0:0:0:0:0:1 - - [20/Nov/2016:15:26:35 +0700] "GET /demoview/AdminForward_edit?key=edit_product&productcode=oc_so4 HTTP/1.1" 200 3156
0:0:0:0:0:0:0:1 - - [20/Nov/2016:15:28:35 +0700] "GET /demoview/AdminForward_edit?key=edit_product&productcode=tom4 HTTP/1.1" 200 3166
0:0:0:0:0:0:0:1 - - [20/Nov/2016:15:32:25 +0700] "GET /demoview/AdminForward_edit?key=edit_product&productcode=tom4 HTTP/1.1" 200 3174
0:0:0:0:0:0:0:1 - - [20/Nov/2016:15:32:35 +0700] "GET /demoview/Adminproduct?key=view HTTP/1.1" 200 11292
0:0:0:0:0:0:0:1 - - [20/Nov/2016:15:35:45 +0700] "GET /demoview/AdminForward_edit?key=edit_product&productcode=oc_so4 HTTP/1.1" 200 3164
0:0:0:0:0:0:0:1 - - [20/Nov/2016:15:36:26 +0700] "GET /demoview/Adminproduct?key=view HTTP/1.1" 200 11292
0:0:0:0:0:0:0:1 - - [20/Nov/2016:15:36:28 +0700] "GET /demoview/AdminForward_edit?key=edit_product&productcode=tom4 HTTP/1.1" 200 3174
0:0:0:0:0:0:0:1 - - [20/Nov/2016:15:39:21 +0700] "GET /demoview/AdminForward_edit?key=edit_product&productcode=tom4 HTTP/1.1" 200 3304
0:0:0:0:0:0:0:1 - - [20/Nov/2016:15:39:35 +0700] "GET /demoview/AdminForward_edit?key=edit_product&productcode=tom4 HTTP/1.1" 200 3304
0:0:0:0:0:0:0:1 - - [20/Nov/2016:15:41:36 +0700] "GET /demoview/AdminForward_edit?key=edit_product&productcode=tom4 HTTP/1.1" 200 3321
0:0:0:0:0:0:0:1 - - [20/Nov/2016:15:42:39 +0700] "GET /demoview/AdminForward_edit?key=edit_product&productcode=tom4 HTTP/1.1" 200 3312
0:0:0:0:0:0:0:1 - - [20/Nov/2016:15:59:23 +0700] "GET /demoview/View/nhap.jsp HTTP/1.1" 200 524
0:0:0:0:0:0:0:1 - - [20/Nov/2016:15:59:23 +0700] "GET /demoview/hinhanh/logo/png HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [20/Nov/2016:15:59:29 +0700] "POST /demoview/nhap HTTP/1.1" 200 8
0:0:0:0:0:0:0:1 - - [20/Nov/2016:16:00:24 +0700] "GET /demoview/View/nhap.jsp HTTP/1.1" 200 556
0:0:0:0:0:0:0:1 - - [20/Nov/2016:16:00:24 +0700] "GET /demoview/hinhanh/logo/png HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [20/Nov/2016:16:00:28 +0700] "POST /demoview/nhap HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [20/Nov/2016:16:01:05 +0700] "GET /demoview/View/nhap.jsp HTTP/1.1" 200 588
0:0:0:0:0:0:0:1 - - [20/Nov/2016:16:01:05 +0700] "GET /demoview/hinhanh/logo/png HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [20/Nov/2016:16:01:10 +0700] "POST /demoview/nhap HTTP/1.1" 200 20
