127.0.0.1 - - [11/Dec/2016:17:09:52 +0700] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:10:17 +0700] "GET /demoview/ HTTP/1.1" 200 12138
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:10:17 +0700] "GET /demoview/View/Style.css HTTP/1.1" 200 4961
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:10:17 +0700] "GET /demoview/hinhanh/cooltext167942677404796.png HTTP/1.1" 200 25372
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:10:17 +0700] "GET /demoview/hinhanh/sdt.png HTTP/1.1" 200 9441
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:10:17 +0700] "GET /demoview/hinhanh/tomhum.jpg HTTP/1.1" 200 10725
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:10:17 +0700] "GET /demoview/hinhanh/cacang.jpg HTTP/1.1" 200 12836
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:10:17 +0700] "GET /demoview/hinhanh/carticon.png HTTP/1.1" 200 1190
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:10:17 +0700] "GET /demoview/hinhanh/cangu.jpg HTTP/1.1" 200 16608
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:10:17 +0700] "GET /demoview/hinhanh/cabacma.jpg HTTP/1.1" 200 12784
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:10:17 +0700] "GET /demoview/hinhanh/find.png HTTP/1.1" 200 22317
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:10:17 +0700] "GET /demoview/hinhanh/tomsu.jpg HTTP/1.1" 200 14262
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:10:17 +0700] "GET /demoview/hinhanh/mucong.jpg HTTP/1.1" 200 12982
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:10:17 +0700] "GET /demoview/hinhanh/mucla.jpg HTTP/1.1" 200 8182
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:10:17 +0700] "GET /demoview/hinhanh/canuc.jpg HTTP/1.1" 200 14256
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:10:17 +0700] "GET /demoview/hinhanh/mucnan.jpg HTTP/1.1" 200 11405
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:10:17 +0700] "GET /demoview/hinhanh/solong.jpg HTTP/1.1" 200 15533
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:10:17 +0700] "GET /demoview/hinhanh/bachtuoc.jpg HTTP/1.1" 200 15722
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:10:17 +0700] "GET /demoview/hinhanh/ghe3phen.jpg HTTP/1.1" 200 19368
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:10:17 +0700] "GET /demoview/hinhanh/ghenhang.jpg HTTP/1.1" 200 16446
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:10:17 +0700] "GET /demoview/hinhanh/bg_title.png HTTP/1.1" 200 2421
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:10:17 +0700] "GET /demoview/hinhanh/logofb.jpg HTTP/1.1" 200 2191
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:10:18 +0700] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:23:09 +0700] "GET /demoview/ HTTP/1.1" 200 12133
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:23:09 +0700] "GET /demoview/hinhanh/cuahuynhde.jpg HTTP/1.1" 200 8141
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:23:29 +0700] "GET /demoview/sanphamtheoloai?type=productCode&productId=ghe3 HTTP/1.1" 200 6423
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:23:30 +0700] "GET /demoview/Style.css HTTP/1.1" 404 1030
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:23:30 +0700] "GET /demoview/hinhanh/cuahuynhde.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:25:20 +0700] "GET /demoview/ HTTP/1.1" 200 12133
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:25:20 +0700] "GET /demoview/hinhanh/cuahuynhde.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:26:30 +0700] "GET /demoview/sanphamtheoloai?type=productCode&productId=ghe4 HTTP/1.1" 200 6479
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:26:31 +0700] "GET /demoview/hinhanh/cuahuynhde.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:26:31 +0700] "GET /demoview/Style.css HTTP/1.1" 404 1030
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:27:42 +0700] "GET /demoview/ HTTP/1.1" 200 12133
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:30:02 +0700] "GET /demoview/ HTTP/1.1" 200 12133
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:30:02 +0700] "GET /demoview/hinhanh/cuahuynhde.jpg HTTP/1.1" 200 13224
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:33:38 +0700] "GET /demoview/ HTTP/1.1" 200 12133
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:33:38 +0700] "GET /demoview/hinhanh/cuahuynhde.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:33:38 +0700] "GET /demoview/hinhanh/octoi.jpg HTTP/1.1" 200 18679
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:35:04 +0700] "GET /demoview/ HTTP/1.1" 200 12133
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:35:04 +0700] "GET /demoview/hinhanh/ochuong.jpg HTTP/1.1" 200 17049
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:35:04 +0700] "GET /demoview/hinhanh/cuahuynhde.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:35:04 +0700] "GET /demoview/hinhanh/octoi.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:38:03 +0700] "GET /demoview/ HTTP/1.1" 200 12133
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:38:03 +0700] "GET /demoview/hinhanh/ochuong.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:38:03 +0700] "GET /demoview/hinhanh/cuahuynhde.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:38:03 +0700] "GET /demoview/hinhanh/octoi.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:38:03 +0700] "GET /demoview/hinhanh/soduong.jpg HTTP/1.1" 200 18784
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:40:16 +0700] "GET /demoview/ HTTP/1.1" 200 12133
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:40:16 +0700] "GET /demoview/hinhanh/tomcangxanh.jpg HTTP/1.1" 200 12877
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:40:16 +0700] "GET /demoview/hinhanh/octoi.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:40:16 +0700] "GET /demoview/hinhanh/soduong.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:40:16 +0700] "GET /demoview/hinhanh/cuahuynhde.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:40:16 +0700] "GET /demoview/hinhanh/ochuong.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:40:59 +0700] "GET /demoview/ HTTP/1.1" 200 12085
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:40:59 +0700] "GET /demoview/hinhanh/tomcangxanh.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:40:59 +0700] "GET /demoview/hinhanh/tomthe.jpg HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:40:59 +0700] "GET /demoview/hinhanh/octoi.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:40:59 +0700] "GET /demoview/hinhanh/soduong.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:40:59 +0700] "GET /demoview/hinhanh/ochuong.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:41:41 +0700] "GET /demoview/ HTTP/1.1" 200 12085
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:41:41 +0700] "GET /demoview/hinhanh/tomcangxanh.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:41:41 +0700] "GET /demoview/hinhanh/tomthe.jpg HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:41:41 +0700] "GET /demoview/hinhanh/soduong.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:41:41 +0700] "GET /demoview/hinhanh/ochuong.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:41:41 +0700] "GET /demoview/hinhanh/cuahuynhde.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:41:44 +0700] "GET /demoview/sanphamtheoloai?type=productCode&productId=tom3 HTTP/1.1" 200 6325
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:41:44 +0700] "GET /demoview/Style.css HTTP/1.1" 404 1030
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:41:44 +0700] "GET /demoview/hinhanh/tomthe.jpg HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:44:24 +0700] "GET /demoview/ HTTP/1.1" 200 12085
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:44:24 +0700] "GET /demoview/hinhanh/tomcangxanh.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:44:24 +0700] "GET /demoview/hinhanh/tomthe.jpg HTTP/1.1" 200 8492
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:44:24 +0700] "GET /demoview/hinhanh/ochuong.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:44:24 +0700] "GET /demoview/hinhanh/soduong.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:44:24 +0700] "GET /demoview/hinhanh/cuahuynhde.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:44:24 +0700] "GET /demoview/hinhanh/octoi.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:44:32 +0700] "GET /demoview/sanphamtheoloai?type=productCode&productId=tom3 HTTP/1.1" 200 6325
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:44:32 +0700] "GET /demoview/hinhanh/tomthe.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:44:32 +0700] "GET /demoview/Style.css HTTP/1.1" 404 1030
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:46:32 +0700] "GET /demoview/ HTTP/1.1" 200 12085
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:46:32 +0700] "GET /demoview/hinhanh/tomcangxanh.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:46:32 +0700] "GET /demoview/hinhanh/octoi.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:46:32 +0700] "GET /demoview/hinhanh/ochuong.jpg HTTP/1.1" 304 -
