127.0.0.1 - - [25/Nov/2016:06:12:59 +0700] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [25/Nov/2016:06:13:19 +0700] "GET /demoview/admin/Admin_Login.jsp HTTP/1.1" 200 659
0:0:0:0:0:0:0:1 - - [25/Nov/2016:06:13:19 +0700] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [25/Nov/2016:06:13:26 +0700] "POST /demoview/Adminlogin HTTP/1.1" 200 710
0:0:0:0:0:0:0:1 - - [25/Nov/2016:06:13:32 +0700] "POST /demoview/Adminlogin HTTP/1.1" 200 3220
0:0:0:0:0:0:0:1 - - [25/Nov/2016:06:13:32 +0700] "GET /demoview/admin/Adminstyle.css HTTP/1.1" 200 1260
0:0:0:0:0:0:0:1 - - [25/Nov/2016:06:13:40 +0700] "GET /demoview/Adminorder?key=view HTTP/1.1" 200 3720
0:0:0:0:0:0:0:1 - - [25/Nov/2016:06:13:40 +0700] "GET /demoview/hinhanh/find.png HTTP/1.1" 200 22317
0:0:0:0:0:0:0:1 - - [25/Nov/2016:06:13:43 +0700] "GET /demoview/Adminorder?fillorder=1&key.x=3&key.y=9&key=filler HTTP/1.1" 200 3720
0:0:0:0:0:0:0:1 - - [25/Nov/2016:06:13:46 +0700] "GET /demoview/Adminorder?fillorder=4&key.x=9&key.y=8&key=filler HTTP/1.1" 200 4351
0:0:0:0:0:0:0:1 - - [25/Nov/2016:06:14:18 +0700] "GET /demoview/Adminorder?fillorder=3&key.x=5&key.y=11&key=filler HTTP/1.1" 200 9872
0:0:0:0:0:0:0:1 - - [25/Nov/2016:06:17:40 +0700] "GET /demoview/Adminorder?key=view HTTP/1.1" 200 9872
0:0:0:0:0:0:0:1 - - [25/Nov/2016:06:17:43 +0700] "GET /demoview/Adminorder?key=view HTTP/1.1" 200 9872
0:0:0:0:0:0:0:1 - - [25/Nov/2016:06:35:00 +0700] "GET /demoview/Adminorder?key=view HTTP/1.1" 200 9932
0:0:0:0:0:0:0:1 - - [25/Nov/2016:06:35:02 +0700] "GET /demoview/Adminorder?key=view HTTP/1.1" 200 9932
